householdincome,n,percent
Households:,"40,015",
"Less than $10,000","2,144",5.4%
"$10,000 to $14,999","1,028",2.6%
"$15,000 to $19,999","1,318",3.3%
"$20,000 to $24,999","1,410",3.5%
"$25,000 to $29,999","1,422",3.6%
"$30,000 to $34,999","1,566",3.9%
"$35,000 to $39,999","1,419",3.6%
"$40,000 to $44,999","1,824",4.6%
"$45,000 to $49,999","1,562",3.9%
"$50,000 to $59,999","3,184",8.0%
"$60,000 to $74,999","3,950",9.9%
"$75,000 to $99,999","5,049",12.6%
"$100,000 to $124,999","3,958",9.9%
"$125,000 to $149,999","2,637",6.6%
"$150,000 to $199,999","3,314",8.3%
"$200,000 or More","4,230",10.6%
