race,medianHI
Median Household Income (In 2017 Inflation Adjusted Dollars):,"$72,265"
White Alone Householder,"$76,328"
Black or African American Alone Householder,"$43,944"
American Indian and Alaska Native Alone  Householder,
Asian Alone,"$67,933"
Native Hawaiian and Other Pacific Islander Alone  Householder,
Some Other Race Alone Householder,"$47,734"
Two or More Races Householder,"$52,679"
Hispanic or Latino Householder,"$51,800"
"White Alone Householder, Not Hispanic or Latino","$76,910"
